url,text,author,query,created_at,date,platform,ingested_at,like,reply,repost,is_fuel,is_cost,is_au,sentiment_score,sentiment_label,matched_location
at://did:plc:hrnmlandomm3z6itmxs7aden/app.bsky.feed.post/3mm4jzbo6ic25,All good I live in Australia we pay a fuel tax for petrol and diesel and LGP. Electric cars don’t. I am not sure what the deal is in the US,chrpaw25.bsky.social,petrol Australia,2026-05-18T09:14:47.533Z,2026-05-18,bluesky,2026-05-18T15:57:31.210492+00:00,0,1,0,True,False,True,0.1376,positive,Australia
at://did:plc:4caf2oupsfd5tzl5epwa2xj2/app.bsky.feed.post/3mlz7hsxcmx2j,"NOW DISMANTLING 2014 MAZDA CX9 3.7L AUTOMATIC PETROL STOCK NUMBER W2676
☎️ 1300 363 593 
🛒 jcsparts.com.au/
📧 parts@jcsparts.com.au

JCS Parts is located at 551 Grand Junction Road, Wingfield SA 5013. 

We ship Australia wide!",jcspartsau.bsky.social,petrol Australia,2026-05-17T01:28:04.823Z,2026-05-17,bluesky,2026-05-18T15:57:31.210781+00:00,0,0,0,True,False,True,0.6514,positive,Australia
at://did:plc:e5eb737cfwve3aunt6kwjbqd/app.bsky.feed.post/3mlyyuwvzwz2a,"Melbourne petrol station operators fined $40,000 for underpaying Indian international student

https://www.europesays.com/australia/12658/

The Fair Work Ombudsman has secured penalties totalling $40,000 against a former United Petroleum outlet operator in Melbourne…",eu-au.bsky.social,petrol Australia,2026-05-16T23:30:08+00:00,2026-05-16,bluesky,2026-05-18T15:57:31.211030+00:00,0,0,0,True,False,True,0.7783,positive,Victoria
at://did:plc:e5eb737cfwve3aunt6kwjbqd/app.bsky.feed.post/3mlx4jnpwq32x,"Anthony Albanese says fuel supply now above pre-war levels, no word on fuel excise extension

https://www.europesays.com/australia/12351/

Australia’s supply of petrol, diesel and jet fuel is now greater than it was before the Iran war…",eu-au.bsky.social,petrol Australia,2026-05-16T05:30:03+00:00,2026-05-16,bluesky,2026-05-18T15:57:31.211302+00:00,0,0,0,True,False,True,0.0772,positive,WA
at://did:plc:4caf2oupsfd5tzl5epwa2xj2/app.bsky.feed.post/3mlwox3jpwk24,"NOW DISMANTLING 2012 TOYOTA CAMRY 2.5L AUTOMATIC PETROL STOCK NUMBER W2675
☎️ 1300 363 593 
🛒 jcsparts.com.au/
📧 parts@jcsparts.com.au

JCS Parts is located at 551 Grand Junction Road, Wingfield SA 5013. 

We ship Australia wide!",jcspartsau.bsky.social,petrol Australia,2026-05-16T01:27:04.063Z,2026-05-16,bluesky,2026-05-18T15:57:31.211548+00:00,0,0,0,True,False,True,0.6514,positive,Australia
at://did:plc:kj5ddmgc45vgnbmybvvhmazi/app.bsky.feed.post/3mlwjbb2cdc2r,"Perth, Western Australia here… I have 29 solar panels on my roof with battery storage. My electricity bill so far this month is AU$5.53 (US$3.95) and I have a BYD EV so I’ve not bought petrol for months. I’m not alone. Millions of Aussies live like this.",keryna.bsky.social,petrol Australia,2026-05-15T23:45:23.144Z,2026-05-15,bluesky,2026-05-18T15:57:31.211792+00:00,0,0,0,True,True,True,0.5007,positive,WA
at://did:plc:4caf2oupsfd5tzl5epwa2xj2/app.bsky.feed.post/3mlu5srklql2k,"NOW DISMANTLING 2008 WM STATESMAN 3.6L AUTOMATIC PETROL STOCK NUMBER W2674
☎️ 1300 363 593 
🛒 jcsparts.com.au/
📧 parts@jcsparts.com.au

JCS Parts is located at 551 Grand Junction Road, Wingfield SA 5013. 

We ship Australia wide!",jcspartsau.bsky.social,petrol Australia,2026-05-15T01:15:06.316Z,2026-05-15,bluesky,2026-05-18T15:57:31.212017+00:00,0,0,0,True,False,True,0.6514,positive,Australia
at://did:plc:idpw7nf7ojd55shjyyh4awov/app.bsky.feed.post/3mltk5oriyh2a,📢 US-Beijing visit struggles for positives; US retail up on petrol costs; China bank lending falters; Australia tackles sham retail discounts; freight rates rise; UST 10yr at 4.48%; gold and oil hold again; NZ$1 = 59.2 USc; TWI-5 = 62.5,interestnz.nzcow.com,petrol Australia,2026-05-14T19:23:17.759049+00:00,2026-05-14,bluesky,2026-05-18T15:57:31.212537+00:00,0,0,0,True,False,True,0.2263,positive,Australia
at://did:plc:4caf2oupsfd5tzl5epwa2xj2/app.bsky.feed.post/3mlplhjlrv72k,"NOW DISMANTLING 2018 MITSUBISHI OUTLANDER 2.4L AUTOMATIC PETROL STOCK NUMBER W2672
☎️ 1300 363 593 
🛒 jcsparts.com.au/
📧 parts@jcsparts.com.au

JCS Parts is located at 551 Grand Junction Road, Wingfield SA 5013. 

We ship Australia wide!",jcspartsau.bsky.social,petrol Australia,2026-05-13T05:36:02.561Z,2026-05-13,bluesky,2026-05-18T15:57:31.212846+00:00,0,0,0,True,False,True,0.6514,positive,Australia
at://did:plc:ynwnelh3bxm42mf5nyegb2jf/app.bsky.feed.post/3mlpis4vp7s2b,"I'm in Australia and for a few weeks have had to use Uber to get to and from medical appointments. I've made 10 or 11 trips and had a different EV each time, almost all Chinese made. The quality and comfort is amazing, and of course, no petrol. There are issues, but they are great cars!",christinesayshi.bsky.social,petrol Australia,2026-05-13T04:48:17.315Z,2026-05-13,bluesky,2026-05-18T15:57:31.213185+00:00,3,0,0,True,True,True,0.8588,positive,Australia
