date,avg_ulp_price,station_count,source,fuel_type,ingested_at
2026-05-01,192.72,897,FuelWatch WA,ULP,2026-05-18T15:58:12Z
2026-05-02,192.56,909,FuelWatch WA,ULP,2026-05-18T15:58:12Z
2026-05-03,192.56,912,FuelWatch WA,ULP,2026-05-18T15:58:12Z
2026-05-04,192.26,913,FuelWatch WA,ULP,2026-05-18T15:58:12Z
2026-05-05,190.66,914,FuelWatch WA,ULP,2026-05-18T15:58:12Z
2026-05-06,196.99,915,FuelWatch WA,ULP,2026-05-18T15:58:12Z
2026-05-07,195.53,916,FuelWatch WA,ULP,2026-05-18T15:58:12Z
2026-05-08,194.0,915,FuelWatch WA,ULP,2026-05-18T15:58:12Z
2026-05-09,193.38,914,FuelWatch WA,ULP,2026-05-18T15:58:12Z
2026-05-10,193.14,914,FuelWatch WA,ULP,2026-05-18T15:58:12Z
2026-05-11,192.2,914,FuelWatch WA,ULP,2026-05-18T15:58:12Z
2026-05-12,189.52,915,FuelWatch WA,ULP,2026-05-18T15:58:12Z
2026-05-13,194.8,917,FuelWatch WA,ULP,2026-05-18T15:58:12Z
2026-05-14,192.35,917,FuelWatch WA,ULP,2026-05-18T15:58:12Z
2026-05-15,190.81,917,FuelWatch WA,ULP,2026-05-18T15:58:12Z
2026-05-16,192.0,925,FuelWatch WA,ULP,2026-05-18T15:58:12Z
2026-05-17,192.04,924,FuelWatch WA,ULP,2026-05-18T15:58:12Z
