source,"source_file","publish_date","ingested_at",address,"product_description",postcode,"product_price","brand_description","trading_name",location,"site_features"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","194 Great Eastern Hwy",PULP,"6,104","190.9","7-Eleven","7-Eleven Ascot",ASCOT,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","194 Great Eastern Hwy","98 RON","6,104","198.9","7-Eleven","7-Eleven Ascot",ASCOT,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","174 Balcatta Rd",ULP,"6,021","177.9","7-Eleven","7-Eleven Balcatta",BALCATTA,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","174 Balcatta Rd","Brand Diesel","6,021","229.9","7-Eleven","7-Eleven Balcatta",BALCATTA,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","102 Princess Rd",ULP,"6,061","175.9","7-Eleven","7-Eleven Balga",BALGA,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","102 Princess Rd","98 RON","6,061","198.9","7-Eleven","7-Eleven Balga",BALGA,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","1/300 Joseph Banks Bvd",ULP,"6,031","175.9","7-Eleven","7-Eleven Banksia Grove","BANKSIA GROVE","(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","1133-1135 Albany Hwy",PULP,"6,102","189.9","7-Eleven","7-Eleven Bentley",BENTLEY,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","1133-1135 Albany Hwy","98 RON","6,102","197.9","7-Eleven","7-Eleven Bentley",BENTLEY,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","35 Port Kembla Dr",ULP,"6,163","175.9","7-Eleven","7-Eleven Bibra Lake","BIBRA LAKE","(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","492 Marmion St",ULP,"6,154","175.9","7-Eleven","7-Eleven Booragoon",BOORAGOON,"(blank)"
"FuelWatch WA","FuelWatchRetail-05-2026.csv","May 17, 2026 @ 10:00:00.000","May 18, 2026 @ 22:00:01.000","492 Marmion St",PULP,"6,154","190.9","7-Eleven","7-Eleven Booragoon",BOORAGOON,"(blank)"
